Unnamed: 0,link,title1,title2,genre
105,https://anime47.com/phim/monster-musume-no-iru-nichijou/m5107.html,Monster Musume no Iru Nichijou [BD],Everyday Life with Monster Girls,"['hài hước', 'ecchi', 'harem', 'romance', 'blu-ray', 'fantasy', 'seinen']"
106,https://anime47.com/phim/one-piece-strong-world/m4688.html,One Piece: Strong World,One Piece Movie 10 | One Piece Film: Strong World,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
107,https://anime47.com/phim/angel-beats/m1533.html,Angel Beats! [BD],Angel Beats! BD,"['hành động', 'hài hước', 'drama', 'học đường', 'siêu nhiên']"
108,https://anime47.com/phim/the-best-of-one-piece/m3377.html,The Best Of One Piece,The Best Of One Piece,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
109,https://anime47.com/phim/inou-batoru-wa-nichijou-kei-no-naka-de/m4437.html,Inou-Batoru wa Nichijou-kei no Naka de,Inou-Batoru wa Nichijou-kei no Naka de | Inou Battle Wa Nichijou-kei No Naka De ,"['hài hước', 'học đường', 'romance', 'siêu nhiên']"
110,https://anime47.com/phim/youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e-tv/m6420.html,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),Classroom of the Elite | Welcome to the Classroom of the Elite,"['hài hước', 'học đường', 'romance']"
111,https://anime47.com/phim/is-infinite-stratos-1/m1287.html,IS: Infinite Stratos 1,IS: Infinite Stratos 1,"['hành động', 'hài hước', 'ecchi', 'mecha', 'harem', 'viễn tưởng']"
112,https://anime47.com/phim/fate-stay-night-unlimited-blade-works-2014-2015/m5041.html,Fate/stay night: Unlimited Blade Works (2014-2015),Fate/Stay Night: UBW,"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']"
113,https://anime47.com/phim/one-piece-ova-1/m2570.html,One Piece Ova 1,One Piece Ova 1,"['hành động', 'hài hước', 'phiêu lưu', 'drama', 'shounen', 'fantasy', 'super power']"
114,https://anime47.com/phim/shinmai-maou-no-testament-burst/m5242.html,Shinmai Maou no Testament Burst [BD],The Testament of Sister New Devil: Burst | Shinmai Maou no Season 2,"['hành động', 'ecchi', 'harem', 'romance', 'fantasy', 'demons']"
115,https://anime47.com/phim/fate-zero-bd/m3535.html,Fate/Zero BD,Fate/Zero Bản BD Season 1 Và 2,"['hành động', 'phép thuật', 'drama', 'fantasy', 'siêu nhiên']"
116,https://anime47.com/phim/sword-art-online-alicization-dai-chien-underworld-2/m7455.html,Sword Art Online: Alicization - Đại Chiến Underworld 2,"Sword Art Online: Alicization 3Season, Sword Art Online III 3Season, SAO Alicization 3Season, Sword Art Online 3 3Season, SAO 3 3Season","['hành động', 'phiêu lưu', 'romance', 'blu-ray', 'fantasy', 'game']"
